 Ranking , Company , Sector ,"G?nero
œÓÎ (ÌÂÚ ‚ ÓÒÌÓ‚ÌÓÈ Ú‡·ÎËˆÂ)", Country , Ventas , neto , oper , Activo ,"Pasivo total (mdp) 
—ÛÏÏ‡ Ô‡ÒÒË‚‡ (‚ ·‡Î‡ÌÒÂ) (ÏËÎÎËÓÌ˚ ÔÂÒÓ)", Empl , Posici?n en el ranking 2020 , Roe , Ranking Ganado 
82,Grupo Sanborns,Comercio departamental,H,M?xico," 529†394,00 "," 18†186,00 "," 26†832,00 "," 551†746,00 "," 199†489,00 "," 42†187,00 "," 97,00 "," 52,00 ",15
83,Grupo Proeza,Holding,H,M?xico," 52†546,00 ", nd , nd , nd , nd ," 13†356,00 "," 78,00 ", nd ,-5
84,Grupo M?xico Divisi?n Transportes,Log?stica y transporte,H,M?xico," 511†729,00 "," 75†739,00 "," 157†993,00 "," 1†189†334,00 "," 556†737,00 "," 10†591,00 "," 82,00 "," 12,00 ",-2
85,Banobras,Servicios financieros,H,M?xico," 50†141,00 "," 2†340,00 ","-3†254,00 "," 943†852,00 "," 864†304,00 "," 1†000,00 "," 64,00 "," 29,00 ",-21
86,Lear Corporation M?xico,Automotriz y autopartes,H,Estados Unidos," 500†196,00 ", nd , nd ," 141†528,00 ", nd , nd ," 72,00 ", nd ,-14
87,Casa Ley,Comercio autoservicio,H,M?xico," 49†000,00 ", nd , nd , nd , nd ," 25†000,00 "," 85,00 ", nd ,-2
88,Grupo Envases Universales,Vidrio y envases,M,M?xico," 49†000,00 ", nd , nd , nd , nd ," 8†000,00 "," 90,00 ", nd ,2
89,Union Pacific de M?xico,Log?stica y transporte,H,Estados Unidos," 486†848,00 ", nd , nd , nd , nd , nd ," 84,00 ", nd ,-5
90,Televisa Telecomunicaciones,Telecomunicaciones,H,M?xico," 480†209,00 ", nd ," 20†285,00 ", nd , nd , nd ," 83,00 ", nd ,-7
91,P&G M?xico,Productos de consumo,H,Estados Unidos," 48†000,00 ", nd , nd , nd , nd ," 6†738,00 "," 87,00 ", nd ,-4
92,ArcelorMittal M?xico,Siderurgia y metalurgia,H,Luxemburgo," 477†923,00 ", nd , nd , nd , nd ," 6†263,00 "," 101,00 ", nd ,9
93,Farmacias del Ahorro,Comercio de medicamentos,H,M?xico," 47†000,00 ", nd , nd , nd , nd ," 25†000,00 "," 94,00 ", nd ,1
94,Kimberly-Clark de M?xico,Productos de consumo,H,M?xico/Estados Unidos," 46†894,00 "," 44†939,00 "," 83†497,00 "," 48†784,00 "," 430†604,00 "," 10†311,00 "," 79,00 "," 785,00 ",-15
95,Seguros BBVA Bancomer,Seguros y fianzas,H,Espa?a," 466†836,00 "," 41†641,00 "," 55†495,00 "," 1†625†925,00 "," 149†652,00 ", nd ," 81,00 "," 322,00 ",-14
96,Adient M?xico,Automotriz y autopartes,H,Irlanda," 464†906,00 ", nd , nd ," 35†632,00 ", nd , nd ," 89,00 ", nd ,-7
97,Altos Hornos de M?xico,Siderurgia y metalurgia,H,M?xico," 455†749,00 ","-5†633,00 "," 51†449,00 "," 471†667,00 "," 577†618,00 "," 15†024,00 "," 132,00 ", nd ,35
98,Grupo Aerom?xico,Aerol?neas,H,M?xico," 45†461,00 ","-187†816,00 ","-13†159,00 "," 86†848,00 "," 1†413†543,00 "," 12†893,00 "," 121,00 ", nd ,23
99,AXA Seguros,Seguros y fianzas,H,Francia," 45†410,00 "," 1†185,00 ","-2†251,00 "," 88†540,00 "," 74†177,00 "," 3†985,00 "," 92,00 "," 83,00 ",-7
100,The Home Depot M?xico,Comercio especializado,H,Estados Unidos," 45†066,00 ", nd , nd , nd , nd ," 19†000,00 "," 88,00 ", nd ,-12
101,H-E-B M?xico,Comercio autoservicio,H,Estados Unidos," 45†000,00 ", nd , nd , nd , nd ," 17†000,00 "," 91,00 ", nd ,-10
